** デバッグ
|表階|階名|次階|フ型|怪物|06|イベント|地形型|10|階型|音楽|h
|1|0x00|1|0x01|0|0x00|0x0000|0x21|0xFF|0x00|0x44|
|2|0x00|2|0x01|1|0x00|0x0000|0x22|0xFF|0x00|0x44|
|3|0x00|3|0x01|2|0x00|0x0000|0x23|0xFF|0x00|0x44|
|4|0x00|4|0x01|3|0x00|0x0000|0x24|0xFF|0x00|0x44|
|5|0x00|0|0x01|4|0x00|0x0000|0x25|0xFF|0x00|0x44|

** シュテン山道初級
|表階|階名|次階|フ型|怪物|06|イベント|地形型|10|階型|音楽|h
|1|0x04|1|0x23|0|0x00|0x0000|0x45|0x00|0x0B|0x0B|
|2|0x04|2|0x23|1|0x00|0x0000|0x45|0x00|0x0B|0x0B|
|3|0x1C|3|0x23|2|0x00|0x0000|0x41|0xFF|0xFF|0x1A|
|4|0x1C|4|0x23|3|0x00|0x0000|0x41|0xFF|0xFF|0x1A|
|5|0x1D|5|0x22|4|0x00|0x0000|0x24|0xFF|0x00|0x0C|
|6|0x1D|6|0x22|5|0x00|0x02D5|0x24|0xFF|0x00|0x0C|
|0|0x07|7|0x27|0|0x00|0x0000|0x6A|0xFF|0xFF|0x2C|
|7|0x1E|8|0x2B|6|0x00|0x0000|0x49|0xFF|0xFF|0x27|
|8|0x1F|9|0x22|7|0x00|0x0000|0x21|0xFF|0x00|0x10|
|9|0x09|10|0x23|8|0x00|0x0000|0x48|0xFF|0xFF|0x0D|
|10|0x09|11|0x23|9|0x00|0x02D9|0x48|0xFF|0xFF|0x0D|
|0|0x0A|11|0x27|10|0x00|0x0000|0x6D|0xFF|0xFF|0x2D|

** シュテン山道中級
|表階|階名|次階|フ型|怪物|06|イベント|地形型|10|階型|音楽|h
|1|0x0E|1|0x22|0|0x00|0x0000|0x2B|0xFF|0x00|0x0A|
|2|0x0E|2|0x22|1|0x00|0x0000|0x2B|0xFF|0x00|0x0A|
|3|0x05|3|0x23|2|0x00|0x0000|0x43|0x00|0x0E|0x24|
|4|0x05|4|0x23|3|0x00|0x0000|0x43|0x00|0x0E|0x24|
|5|0x20|5|0x22|4|0x00|0x0000|0x2A|0xFF|0x00|0x12|
|6|0x0C|6|0x23|5|0x00|0x0000|0x46|0xFF|0xFF|0x26|
|7|0x0C|7|0x23|6|0x00|0x02D5|0x46|0xFF|0xFF|0x26|
|0|0x07|8|0x27|0|0x00|0x0000|0x6A|0xFF|0xFF|0x2C|
|8|0x21|9|0x2A|7|0x00|0x0000|0x21|0xFF|0xFF|0x16|
|9|0x22|10|0x23|8|0x00|0x0000|0x49|0xFF|0xFF|0x27|
|10|0x22|11|0x23|9|0x00|0x0000|0x49|0xFF|0xFF|0x27|
|11|0x11|12|0x23|10|0x00|0x0000|0x4B|0xFF|0xFF|0x28|
|12|0x11|13|0x22|11|0x00|0x005F|0x4B|0xFF|0xFF|0x28|
|13|0x12|14|0x63|12|0x00|0x02D9|0x4D|0x00|0x00|0x2A|
|0|0x0A|14|0x27|0|0x00|0x0000|0x6D|0xFF|0xFF|0x2D|

** シュテン山道上級
|表階|階名|次階|フ型|怪物|06|イベント|地形型|10|階型|音楽|h
|1|0x13|1|0x23|0|0x00|0x0000|0x47|0xFF|0xFF|0x0E|
|2|0x13|2|0x23|1|0x00|0x0000|0x47|0xFF|0xFF|0x0E|
|3|0x06|3|0x22|2|0x00|0x0000|0x23|0xFF|0x00|0x14|
|4|0x06|4|0x22|3|0x00|0x0000|0x23|0xFF|0x00|0x14|
|5|0x0F|5|0x22|4|0x00|0x0000|0x26|0xFF|0x00|0x15|
|6|0x0F|6|0x22|5|0x00|0x0000|0x26|0xFF|0x00|0x15|
|7|0x15|7|0x22|6|0x00|0x0000|0x28|0xFF|0x00|0x12|
