** デバッグ
|階|地|縦|横|部|幅|モ|店|店ア&br;表|MH|MH&br;種類|迷|埋|水|氷|ギ|ア|罠|店ア|>|>|>|>|仲間|LV|変|ビ|行商|行ア&br;表|水路|湖|店主|店表|池|島|柱|壁|氷&br;部屋|h
|~1|1|4|3|5|2|6|100|1|100|1|0|0|0|0|500|5|5|5|0|0|0|0|0|1|1|1|1|1|0|0|1|1|0|0|0|0|0|
|~2|1|4|3|5|1|6|0|1|0|1|0|0|100|100|500|5|5|5|0|0|0|0|0|1|1|1|1|1|0|0|1|1|0|0|0|0|0|
|~3|1|4|3|5|1|6|0|1|0|1|0|0|0|0|500|5|5|5|0|0|0|0|0|1|1|1|1|1|0|0|1|1|100|100|0|0|0|
|~4|1|4|3|5|1|6|0|1|0|1|0|0|0|0|500|5|5|5|0|0|0|0|0|1|1|1|1|1|0|0|1|1|0|0|100|100|0|
|~5|1|4|3|5|1|6|100|1|0|1|100|100|100|100|500|5|5|5|0|0|0|0|0|1|1|1|1|1|0|0|1|1|100|100|100|100|100|

** シュテン山道初級
|階|地|縦|横|部|幅|モ|店|店ア&br;表|MH|MH&br;種類|迷|埋|水|氷|ギ|ア|罠|店ア|>|>|>|>|仲間|LV|変|ビ|行商|行ア&br;表|水路|湖|店主|店表|池|島|柱|壁|氷&br;部屋|h
|~1|7|3|3|5|1|4|0|1|0|1|0|0|0|0|250|5|0|6|0|0|0|0|0|1|1|5|0|1|0|0|1|1|0|0|0|0|0|
|~2|7|3|3|5|1|5|0|1|0|1|0|0|0|0|250|5|0|6|0|0|0|0|0|1|1|5|0|1|0|0|1|1|0|0|0|0|0|
|~3|7|3|3|5|1|6|0|1|0|1|0|0|0|0|250|5|0|6|0|0|0|0|0|1|1|5|0|1|0|0|1|1|0|0|0|0|0|
|~4|7|3|3|5|1|6|0|1|0|1|0|0|0|0|250|5|0|6|0|0|0|0|0|2|1|5|0|1|0|0|1|1|0|0|0|0|0|
|~5|7|7|7|7|1|6|0|1|0|1|0|0|0|0|250|4|0|6|0|0|0|0|0|2|1|5|0|1|0|0|1|1|0|0|0|0|0|
|~6|7|7|7|7|1|6|0|1|0|1|0|0|0|0|250|5|5|6|0|0|0|0|0|2|1|5|0|1|0|0|1|1|0|0|0|0|0|
|~7|7|3|3|5|1|6|0|1|0|1|0|0|0|0|250|5|6|6|0|0|0|0|0|3|1|5|0|1|0|0|1|1|0|0|0|0|0|
|~8|8|5|5|7|1|6|0|1|0|1|0|0|0|0|250|6|7|6|0|0|0|0|0|3|1|5|0|1|0|0|1|1|0|0|0|0|0|
|~9|7|3|3|5|1|6|0|1|0|1|0|0|0|0|250|7|7|6|0|0|0|0|0|3|1|5|0|1|0|0|1|1|0|0|0|0|0|
|~10|1|3|3|7|1|6|0|1|0|1|0|0|0|0|250|7|7|6|0|0|0|0|0|4|1|5|0|1|0|0|1|1|0|0|0|0|0|
|~11|1|3|3|7|1|6|0|1|0|1|0|0|0|0|250|7|7|6|0|0|0|0|0|4|1|5|0|1|0|0|1|1|0|0|0|0|0|
|~12|1|3|3|7|1|6|0|1|0|1|0|0|0|0|250|6|7|6|0|0|0|0|0|4|1|5|0|1|0|0|1|1|0|0|0|0|0|

** シュテン山道中級
|階|地|縦|横|部|幅|モ|店|店ア&br;表|MH|MH&br;種類|迷|埋|水|氷|ギ|ア|罠|店ア|>|>|>|>|仲間|LV|変|ビ|行商|行ア&br;表|水路|湖|店主|店表|池|島|柱|壁|氷&br;部屋|h
|~1|7|7|7|5|1|4|0|1|0|1|0|0|0|0|350|4|0|7|0|0|0|0|0|1|1|5|0|1|0|0|1|1|0|0|0|0|0|
|~2|7|7|7|5|1|6|0|1|0|1|0|0|0|0|350|4|4|7|0|0|0|0|0|1|1|5|0|1|0|0|1|1|0|0|0|0|0|
|~3|7|3|3|5|1|7|0|1|0|1|0|0|0|0|350|4|5|7|0|0|0|0|0|2|1|5|0|1|0|0|1|1|0|0|0|0|0|
|~4|7|3|3|5|1|7|0|1|0|1|0|0|0|0|350|4|5|7|0|0|0|0|0|2|1|5|0|1|0|0|1|1|0|0|0|0|0|
|~5|7|9|7|8|1|7|0|1|0|1|10|0|0|0|350|4|6|7|0|0|0|0|0|2|1|5|0|1|0|0|1|1|0|0|0|0|0|
|~6|7|3|3|5|1|7|0|1|0|1|10|0|0|0|350|5|8|7|0|0|0|0|0|3|1|5|0|1|0|0|1|1|0|0|0|0|0|
|~7|7|3|3|5|1|7|0|1|0|1|10|0|0|0|350|6|8|7|0|0|0|0|0|3|1|5|0|1|0|0|1|1|0|0|0|0|0|
|~8|1|9|7|9|1|7|20|1|0|1|10|0|0|0|350|5|6|7|0|0|0|0|0|3|1|5|10|1|0|0|1|1|0|10|0|0|0|
|~9|1|3|3|5|1|7|0|1|0|1|0|0|0|0|350|5|7|7|0|10|0|0|0|4|1|5|10|1|0|0|1|1|10|10|0|0|0|
|~10|1|3|3|5|1|7|0|1|0|1|0|0|0|0|350|6|7|7|0|10|0|0|0|4|1|5|10|1|0|0|1|1|10|10|0|0|0|
|~11|1|3|3|5|1|7|0|1|0|1|0|0|0|0|350|6|0|7|0|10|0|0|0|4|1|5|10|1|0|0|1|1|10|10|0|0|0|
|~12|1|3|3|5|1|7|0|1|0|1|0|0|0|0|350|6|0|7|0|10|0|0|0|4|1|5|10|1|0|0|1|1|10|10|0|0|0|
|~13|1|3|3|5|1|6|0|1|0|1|0|0|0|0|150|6|4|7|0|0|0|0|0|4|1|5|0|1|0|0|1|1|10|10|0|0|0|
|~14|1|3|3|5|1|8|10|1|0|1|0|0|0|0|250|0|5|7|0|0|0|0|0|4|1|5|10|1|0|0|1|1|10|10|0|0|0|
|~15|1|3|3|5|1|8|10|1|0|1|10|0|0|0|250|0|5|7|0|0|0|0|0|4|1|5|10|1|0|0|1|1|10|10|0|0|0|

** シュテン山道上級
|階|地|縦|横|部|幅|モ|店|店ア&br;表|MH|MH&br;種類|迷|埋|水|氷|ギ|ア|罠|店ア|>|>|>|>|仲間|LV|変|ビ|行商|行ア&br;表|水路|湖|店主|店表|池|島|柱|壁|氷&br;部屋|h
|~1|7|3|3|5|1|4|0|1|0|1|10|0|0|0|400|5|0|8|0|0|0|0|0|1|1|5|0|1|0|0|1|1|0|0|0|0|0|
|~2|7|3|3|5|1|6|0|1|0|1|10|0|0|0|400|5|5|8|0|0|0|0|0|1|1|5|0|1|0|0|1|1|0|0|0|0|0|
|~3|7|5|5|5|1|7|0|1|0|1|10|0|0|0|400|5|5|8|0|0|0|0|0|2|1|5|3|1|0|0|1|1|0|0|0|0|0|
|~4|8|5|5|6|1|7|0|1|0|1|10|0|0|0|400|5|5|8|0|0|0|0|0|2|1|5|3|1|0|0|1|1|0|0|0|0|0|
|~5|8|7|7|7|1|7|0|1|0|1|10|0|0|0|400|5|6|8|0|0|0|0|0|2|1|5|3|1|0|0|1|1|0|0|0|0|0|
|~6|1|7|7|7|1|7|0|1|0|1|10|0|0|0|400|5|9|8|0|0|0|0|0|2|1|5|3|1|0|0|1|1|0|0|0|0|0|
|~7|3|4|5|7|1|7|20|1|0|1|10|0|0|0|400|4|6|8|0|0|0|0|0|3|1|5|3|1|0|0|1|1|0|0|0|0|0|
|~8|2|5|3|8|1|7|20|1|0|1|10|0|0|0|400|4|8|8|0|0|0|0|0|3|1|5|3|1|0|10|1|1|10|0|0|0|5|
|~9|8|5|3|7|1|7|20|1|0|1|10|0|0|0|400|5|8|8|0|0|0|0|0|3|1|5|10|1|0|10|1|1|10|0|0|0|5|
|~10|2|5|3|6|1|7|0|1|0|1|10|0|0|0|400|6|7|8|0|10|0|0|0|4|1|5|10|1|0|10|1|1|10|10|0|0|5|
|~11|2|5|3|6|1|7|0|1|0|1|10|0|0|0|400|6|7|8|0|10|0|0|0|4|1|5|10|1|0|10|1|1|10|10|0|0|5|
|~12|2|5|3|6|1|7|0|1|0|1|10|0|0|0|1000|5|7|8|0|0|0|0|0|4|1|5|0|1|0|10|1|1|10|10|0|10|5|
|~13|2|5|3|6|1|7|0|1|0|1|10|0|0|0|400|6|7|8|0|10|0|0|0|4|1|5|10|1|0|10|1|1|10|10|10|10|5|
|~14|2|5|3|6|1|7|0|1|0|1|10|0|0|0|400|6|7|8|0|10|0|0|0|4|1|5|10|1|0|10|1|1|10|10|10|10|5|
|~15|2|5|3|6|1|5|0|1|0|1|10|0|0|0|1000|4|0|8|0|0|0|0|0|4|1|5|0|1|0|10|1|1|10|10|10|10|5|
|~16|2|5|3|6|1|5|0|1|0|1|10|0|0|0|250|7|7|8|0|0|0|0|0|4|1|5|10|1|0|10|1|1|10|10|10|10|5|
|~17|2|5|3|6|1|8|0|1|0|1|10|0|0|0|250|7|8|8|0|0|0|0|0|4|1|5|10|1|0|10|1|1|10|10|10|10|5|
|~18|1|5|3|6|1|8|0|1|0|1|10|0|0|0|250|7|8|8|0|0|0|0|0|4|1|5|10|1|0|10|1|1|10|10|10|10|5|

** 鬼ヶ島
|階|地|縦|横|部|幅|モ|店|店ア&br;表|MH|MH&br;種類|迷|埋|水|氷|ギ|ア|罠|店ア|>|>|>|>|仲間|LV|変|ビ|行商|行ア&br;表|水路|湖|店主|店表|池|島|柱|壁|氷&br;部屋|h
|~1|7|7|7|5|1|6|0|2|0|1|10|0|0|0|400|4|0|9|0|100|10|10|10|1|2|6|10|2|0|0|1|1|0|0|0|0|0|
|~2|7|7|5|6|1|6|0|2|6|1|10|0|0|0|400|4|5|9|0|0|10|10|10|1|2|6|10|2|0|0|1|1|0|0|0|0|0|
|~3|8|6|6|7|1|7|0|2|6|1|10|0|0|0|400|4|5|9|0|0|10|10|10|2|2|6|10|2|0|0|1|1|0|0|0|0|0|
|~4|8|6|5|6|1|7|10|2|6|1|10|0|0|0|400|4|6|9|0|0|10|10|0|2|2|6|10|2|0|0|1|1|0|0|0|0|0|
|~5|1|6|5|6|1|8|10|2|6|1|10|0|5|0|400|4|6|9|0|0|10|10|0|3|2|6|10|2|15|100|1|1|15|0|0|0|0|
|~6|2|5|3|6|1|8|10|2|6|1|10|0|5|0|400|4|7|9|0|0|10|10|0|3|2|6|10|2|20|100|1|1|15|15|10|0|0|
|~7|2|5|3|7|1|8|20|2|6|1|10|0|10|0|400|5|7|9|0|0|10|10|0|4|2|6|10|2|25|100|1|2|15|15|10|0|0|
|~8|3|5|5|7|2|8|20|2|8|1|10|0|5|0|400|5|8|9|0|0|10|10|0|4|2|6|10|2|30|100|1|2|15|10|10|10|0|
|~9|1|4|6|7|1|7|20|2|8|1|10|0|0|0|400|5|8|9|0|0|0|0|0|4|2|6|10|2|0|0|1|2|0|10|10|10|0|
|~10|8|4|5|8|2|7|25|2|8|1|10|1|0|0|400|5|8|9|0|0|0|0|0|5|2|6|10|2|0|0|1|2|0|10|10|10|0|
|~11|4|4|5|8|1|7|20|2|8|1|10|1|0|0|400|8|8|9|0|0|0|0|0|5|2|6|10|2|0|0|1|3|0|10|10|10|0|
|~12|1|4|5|8|2|7|20|2|8|1|10|1|0|0|400|8|8|9|0|0|0|0|0|5|2|6|10|2|0|0|1|3|0|10|10|10|0|
|~13|2|4|5|9|1|7|20|2|8|1|10|1|0|5|400|5|8|9|0|0|0|0|0|5|2|6|10|2|0|0|1|3|0|10|10|10|0|
|~14|1|7|5|9|2|8|20|2|8|1|10|1|5|5|400|5|8|9|0|0|0|0|0|5|2|6|10|2|20|100|1|2|15|10|10|10|5|
|~15|8|7|5|9|1|8|20|2|8|1|10|1|5|5|400|4|8|9|0|0|0|0|0|6|2|6|10|2|25|100|1|2|15|10|10|10|5|
|~16|1|7|5|10|2|8|20|2|6|1|10|1|5|5|400|4|8|9|0|0|0|0|0|6|2|6|0|2|30|100|1|2|15|10|10|10|10|
|~17|1|4|6|10|1|8|20|3|8|1|10|1|5|10|400|4|8|9|0|0|0|0|0|6|2|6|10|3|35|100|1|2|15|10|10|10|10|
|~18|8|7|5|10|2|8|15|3|8|1|10|1|5|15|400|4|8|9|0|0|0|0|0|6|2|6|10|3|35|100|1|2|15|10|10|10|10|
|~19|2|7|5|9|1|8|15|3|8|1|10|0|10|20|400|8|8|9|0|0|0|0|0|6|2|6|10|3|35|100|1|2|15|5|10|10|10|
|~20|2|7|3|9|2|8|15|3|6|1|10|0|10|0|400|8|8|9|0|0|0|0|0|6|2|6|10|3|35|100|1|2|15|5|10|10|10|
|~21|3|7|3|9|2|7|0|3|6|1|10|0|0|0|400|4|8|9|0|0|0|0|0|6|2|6|10|3|0|0|1|2|10|5|10|10|0|
|~22|1|5|3|8|1|7|0|3|6|1|10|0|0|0|400|3|8|9|0|0|0|0|0|6|2|6|10|3|0|0|1|1|10|5|10|10|0|
|~23|1|5|3|8|2|7|0|3|6|1|10|0|0|0|400|3|8|9|0|0|0|0|0|6|2|6|10|3|0|0|1|1|10|5|10|10|0|
|~24|1|5|3|8|2|7|0|3|6|1|10|0|0|0|400|3|8|9|0|0|0|0|0|6|2|6|10|3|0|0|1|1|10|5|10|10|0|
|~25|1|5|3|8|1|8|0|3|6|1|10|0|0|0|400|4|8|9|0|0|0|0|0|6|2|6|0|3|0|0|1|1|10|5|10|10|0|

** 最果てへの道
