** 店
*** カテゴリ別出現率(比率)
#style(class=white-space_normal)
|RIGHT:種別&br;アイテム種別＼|1|2|3|4-5|6|7-8|9-10|h
|~草|35|35|50|50|40|20|50|
|~巻物|15|25|30|30|30|10|30|
|~武器|15|20|20|20|10|||
|~盾|15|20|20|20|10|||
|~矢||||10|10||10|
|~腕輪||10|10|10|10|||
|~杖|15|15|15|15|15||15|
|~おにぎり|20|15|15|15|15|10|15|
|~壺|10|10|10|10|10|5|10|
|~石||||5|2||5|
|~大砲の弾|||5|5|2||5|
|~城の材料|70|||||||
#style(end)

*** カテゴリ別出現率(%)
#style(class=white-space_normal)
|RIGHT:種別&br;アイテム種別＼|1|2|3|4-5|6|7-8|9-10|h
|~草|17.95%|23.33%|28.57%|26.32%|25.97%|44.44%|35.71%|
|~巻物|7.69%|16.67%|17.14%|15.79%|19.48%|22.22%|21.43%|
|~武器|7.69%|13.33%|11.43%|10.53%|6.49%|||
|~盾|7.69%|13.33%|11.43%|10.53%|6.49%|||
|~矢||||5.26%|6.49%||7.14%|
|~腕輪||6.67%|5.71%|5.26%|6.49%|||
|~杖|7.69%|10.00%|8.57%|7.89%|9.74%||10.71%|
|~おにぎり|10.26%|10.00%|8.57%|7.89%|9.74%|22.22%|10.71%|
|~壺|5.13%|6.67%|5.71%|5.26%|6.49%|11.11%|7.14%|
|~石||||2.63%|1.30%||3.57%|
|~大砲の弾|||2.86%|2.63%|1.30%||3.57%|
|~城の材料|35.90%|||||||
#style(end)

*** アイテム出現率(比率)
#style(class=white-space_normal)
|RIGHT:種別&br;アイテム＼|1|2|3|4|5|6|7-8|9-10|h
|~薬草||||||10|15||
|~弟切草||||||10|30||
|~しあわせ草|10|10|10|10|10|10||10|
|~めぐすり草|10|||10|10|10||10|
|~火炎草|10|||10|10|10||10|
|~天使の種||||||||10|
|~復活の草|10|15|10|10|10|10|3|10|
|~くねくね草||||10|10|10||10|
|~不幸の種||||||10|||
|~超不幸の種||||||10||10|
|~命の草|10||10|10|10|10||10|
|~胃拡張の種|||10|10|10|10||10|
|~胃縮小の種||||||10|||
|~ちからの草|10|20|10|10|10|10||10|
|~毒消し草|10|10|10|10|10|10|5|10|
|~毒草||10|10|10|10|10||10|
|~高とび草|10|10|10|10|10|10||10|
|~よくきき草||10|10|10|10|10||10|
|~すばやさ草|10|10|10|10|10|10|10|10|
|~話の種||||10|10|10||10|
|~ドラゴン草||20|10|||10|||
|~雑草||||||10|||
|~ねだやしの巻物||||5|10|10|||
|~識別の巻物|||20||||||
|~すいだしの巻物||10|10|10|10|10||10|
|~地の恵みの巻物|30|15|10|10|10|10||10|
|~天の恵みの巻物|30|15|10|10|10|10||10|
|~メッキの巻物||||10|10|10||10|
|~壺増大の巻物||10|10|10|10|10||10|
|~バクスイの巻物|10||10|10|10|10||10|
|~白紙の巻物||10|10|10|10|10||10|
|~おはらいの巻物|10|10|10|10|10|10||10|
|~壺われずの巻物||10|10|10|10|10||10|
|~バクハの巻物||||10|10|10|20|10|
|~仕入れ直しの巻物||||||||10|
|~聖域の巻物|10|10|10|10|10|10||10|
|~聖城の巻物||||||10|||
|~分身の巻物||5|5|||10|||
|~ワナけしの巻物||10|10|10|10|10||10|
|~水がれの巻物||10|10|10|10|10||10|
|~ワナ作動の巻物|||||||30|10|
|~いかずちの巻物||||||10|||
|~いかすしの巻物||||||10|||
|~炎上の巻物||||||10|||
|~氷の巻物||10|10|10|10|10||10|
|~ゾワゾワの巻物||||10|10|10|||
|~カタナ|30||||||||
|~妖刀かまいたち|10|10|10|10|10|10|||
|~一ツ目殺し||10|10|10|10|10|||
|~成仏のカマ||10|10|10|10|10|||
|~ドレインバスター||10|10|10|10|10|||
|~かつおぶし||10||10|10|10|||
|~如意棒|||10||||||
