|モンスター名|HP|攻撃|守備|覚醒率|速|種1|種2|経験値|睡眠タイプ|落率|ランダムドロップ&br;の有無|固定ドロップ|HP+|攻+|成長|アイコン|特技率|A|B||A内容|B内容|h
|~マムル|5|2|2|100|1|0|0|2|6|2|1|0x00|1|1|50|1|0|0|0|0|||
|~あなぐらマムル|8|4|4|100|1|0|0|4|6|6|1|0x00|1|1|50|1|0|0|0|0|||
|~どうくつマムル|5|50|55|0|1|0|0|500|1|10|1|0x00|1|1|50|1|0|0|0|0|||
|~ドラゴン|80|37|38|60|1|0|64|350|4|60|1|0x00|2|2|30|5|50|20|0|0|固定ダメ||
|~スカイドラゴン|85|45|43|50|1|0|64|450|4|65|1|0x00|2|2|25|5|25|30|0|0|固定ダメ||
|~アークドラゴン|110|55|55|40|1|0|64|1300|4|70|1|0x00|2|2|20|5|12|35|0|0|固定ダメ||
|~ガマラ|11|0|29|100|1|0|1|6|6|100|0|0xCC|2|0|50|2|70|0|0|0|||
|~ガマグッチ|16|0|35|100|1|0|1|25|6|100|0|0xCC|2|0|50|2|80|0|0|0|||
|~ガマゴン|40|0|65|100|1|0|1|300|6|100|1|0x01|2|0|50|2|25|0|0|0|||
|~ぬすっトド|15|0|10|0|1|0|1|12|2|100|1|0x00|2|0|50|2|50|0|0|0|||
|~みどりトド|20|0|30|0|1|0|1|13|2|100|1|0x00|2|0|50|2|40|30|0|0|分裂率||
|~アイアントド|36|0|55|0|1|0|1|14|2|100|1|0x00|2|0|50|2|30|25|0|0|分裂率||
|~くねくねハニー|50|30|30|0|1|0|2|300|1|35|1|0x00|1|1|30|2|80|0|0|0|||
|~タウロス|130|70|60|60|1|8|8|2500|4|0|1|0x00|1|4|10|5|25|30|0|0|痛恨ダメ+n％||
|~ミノタウロス|150|80|68|60|1|8|8|3000|4|10|0|0x39|0|4|5|5|25|40|0|0|痛恨ダメ+n％||
|~メガタウロス|165|110|75|60|1|8|8|5000|4|15|0|0x39|0|4|5|5|25|50|0|0|痛恨ダメ+n％||
|~にぎりみならい|12|5|6|75|1|0|0|6|5|5|1|0x00|1|3|10|3|0|0|0|0|||
|~にぎりへんげ|28|12|11|50|1|0|0|28|4|2|1|0x00|1|3|10|3|25|0|0|0|||
|~にぎり親方|55|24|20|60|1|0|0|65|5|4|1|0x00|2|3|10|3|25|0|0|0|||
|~にぎりもとじめ|70|55|40|60|1|0|0|1600|5|2|1|0x00|2|3|10|3|25|50|0|0|？||
|~ゲイズ|19|9|11|65|1|0|16|20|5|2|1|0x00|1|2|15|4|25|0|0|0|||
|~スーパーゲイズ|50|32|35|65|1|0|16|200|5|3|1|0x00|1|2|15|4|30|0|0|0|||
|~ハイパーゲイズ|100|63|55|65|1|0|16|2000|5|4|1|0x00|1|2|15|4|30|0|0|0|||
|~チンタラ|6|3|3|60|1|0|0|3|5|2|1|0x00|1|1|50|2|0|0|0|0|||
|~ちゅうチンタラ|15|9|10|60|1|0|0|12|5|3|1|0x00|1|1|50|2|0|0|0|0|||
|~おおチンタラ|60|39|39|60|1|0|0|500|5|4|1|0x00|1|1|50|2|0|0|0|0|||
|~デブータ|70|15|26|60|1|0|8|80|5|15|0|0xC9|1|2|20|4|45|2|0|0|射程||
|~デブーチョ|105|55|60|60|1|0|8|1800|5|20|0|0xC9|1|2|20|4|25|5|0|0|射程||
|~デブートン|120|60|63|60|1|0|8|2150|5|20|0|0xC9|1|2|20|4|12|10|0|0|射程||
|~ケンゴウ|42|19|19|60|1|8|0|55|5|0|0|0x47|1|3|15|5|25|0|0|0|||
|~イアイ|80|69|48|60|1|8|0|1450|5|3|0|0x47|1|3|15|5|25|0|0|0|||
|~シハン|125|90|65|60|1|8|0|2250|5|3|0|0x47|1|3|15|5|20|0|0|0|||
|~しおいやん|11|4|6|75|1|0|2|5|5|1|1|0x00|1|1|40|3|20|0|10|0||攻撃低下|
|~まじしおいやん|40|10|18|65|1|0|2|35|5|1|1|0x00|1|1|40|3|35|0|20|0||攻撃低下|
|~しおやだん|70|38|41|50|1|0|2|690|5|4|1|0x00|1|1|40|3|18|20|30|0|分裂率|攻撃低下|
|~しおかんべん|65|45|40|50|1|0|2|750|5|1|1|0x00|2|1|40|3|12|15|40|0|分裂率|攻撃低下|
